lemma	pos	ipa	zh	meaning_en
lymph node	phrase	/lɪmf noʊd/	淋巴结	a small filter station along lymphatic vessels
hormone	noun	/ˈhɔːrmoʊn/	激素	a chemical messenger carried in blood
absorption	noun	/əbˈzɔːrpʃn/	吸收	uptake of a substance across a membrane or mucosa
elimination	noun	/ɪˌlɪmɪˈneɪʃn/	排泄	removal of waste or a drug from the body
enzyme	noun	/ˈenzaɪm/	酶	a protein catalyst of a biochemical reaction
bile	noun	/baɪl/	胆汁	the liver secretion that helps digest fat
hereditary	adjective	/həˈredɪteri/	遗传的	passed from parents through genes
abscess	noun	/ˈæbses/	脓肿	a localized pocket of pus
obesity	noun	/oʊˈbiːsəti/	肥胖	excess body fat that raises health risk
prolapse	noun	/ˈproʊlæps/	脱垂	downward displacement of an organ from its place
insulin	noun	/ˈɪnsəlɪn/	胰岛素	the pancreatic hormone that lowers blood glucose
adrenaline	noun	/əˈdrenəlɪn/	肾上腺素	the adrenal medullary hormone of the stress response
glucagon	noun	/ˈɡluːkəɡɑːn/	胰高血糖素	the pancreatic hormone that raises blood glucose
sodium	noun	/ˈsoʊdiəm/	钠	the main extracellular cation in body fluids
potassium	noun	/pəˈtæsiəm/	钾	the main intracellular cation in body fluids
symptom	noun	/ˈsɪmptəm/	症状	a change the patient feels or reports
sign	noun	/saɪn/	体征	an objective finding the examiner can detect
diagnose	verb	/ˈdaɪəɡnoʊz/	诊断	to name the illness after history, exam, and tests
acute	adjective	/əˈkjuːt/	急性的	sudden in onset and usually short in course
chronic	adjective	/ˈkrɑːnɪk/	慢性的	long-lasting or slowly developing
abdomen	noun	/ˈæbdəmən/	腹部	the belly cavity below the diaphragm
airway	noun	/ˈerweɪ/	气道	the passage that air follows into the lungs
hypoxia	noun	/haɪˈpɑːksiə/	缺氧	inadequate oxygen at the tissue level
pulse	noun	/pʌls/	脉搏	the arterial beat felt at the skin
infection	noun	/ɪnˈfekʃən/	感染	invasion and multiplication of a pathogen in the host
fever	noun	/ˈfiːvər/	发热	abnormally high body temperature
culture	noun	/ˈkʌltʃər/	培养	laboratory growth of microbes from a specimen
elevated	adjective	/ˈeləveɪtɪd/	升高的	higher than the reference range or baseline
dose	noun	/doʊs/	剂量	the measured amount of a drug given at one time
allergy	noun	/ˈælərdʒi/	过敏	an exaggerated immune reaction to a usually harmless antigen
side effect	phrase	/ˈsaɪd ɪˌfekt/	副作用	an unwanted effect of a drug besides the intended action
incision	noun	/ɪnˈsɪʒən/	切口	a surgical cut through skin or tissue
procedure	noun	/prəˈsiːdʒər/	操作/手术	a planned diagnostic or therapeutic intervention
suture	noun	/ˈsuːtʃər/	缝合	a stitch, or the material used to close a wound
discharge	verb	/dɪsˈtʃɑːrdʒ/	出院	to send a patient home from hospital or clinic
endocarditis	noun	/ˌendoʊkɑːrˈdaɪtɪs/	心内膜炎	inflammation of the inner lining of the heart
dermatitis	noun	/ˌdɜːrməˈtaɪtɪs/	皮炎	inflammation of the skin
gastritis	noun	/ɡæˈstraɪtɪs/	胃炎	inflammation of the stomach lining
arthritis	noun	/ɑːrˈθraɪtɪs/	关节炎	inflammation of a joint
leukemia	noun	/luːˈkiːmiə/	白血病	a malignancy of white blood cells
anemia	noun	/əˈniːmiə/	贫血	too little hemoglobin or too few red cells
hyperglycemia	noun	/ˌhaɪpərɡlaɪˈsiːmiə/	高血糖	abnormally high blood glucose
hypoglycemia	noun	/ˌhaɪpoʊɡlaɪˈsiːmiə/	低血糖	abnormally low blood glucose
hypertension	noun	/ˌhaɪpərˈtenʃən/	高血压	persistently high arterial blood pressure
hypotension	noun	/ˌhaɪpoʊˈtenʃən/	低血压	abnormally low arterial blood pressure
tachycardia	noun	/ˌtækiˈkɑːrdiə/	心动过速	an abnormally fast heart rate
bradycardia	noun	/ˌbreɪdiˈkɑːrdiə/	心动过缓	an abnormally slow heart rate
neuropathy	noun	/nʊˈrɑːpəθi/	神经病变	disease or dysfunction of peripheral nerves
myopathy	noun	/maɪˈɑːpəθi/	肌病	disease of skeletal muscle
osteoporosis	noun	/ˌɑːstioʊpəˈroʊsɪs/	骨质疏松	reduced bone mass with fracture risk
hematoma	noun	/ˌhiːməˈtoʊmə/	血肿	a localized collection of clotted blood in tissue
hemorrhage	noun	/ˈhemərɪdʒ/	出血	escape of blood from vessels
intravenous	adjective	/ˌɪntrəˈviːnəs/	静脉内的	into or within a vein
subcutaneous	adjective	/ˌsʌbkjuˈteɪniəs/	皮下的	beneath the skin, a common injection route
neoplasm	noun	/ˈniːəplæzəm/	肿瘤	an abnormal new growth of tissue
carcinoma	noun	/ˌkɑːrsɪˈnoʊmə/	癌	a malignant tumor of epithelial origin
metastasis	noun	/məˈtæstəsɪs/	转移	spread of tumor cells to a distant site
biopsy	noun	/ˈbaɪɑːpsi/	活检	removal of tissue for microscopic diagnosis
prognosis	noun	/prɑːɡˈnoʊsɪs/	预后	the expected course and outcome of a disease
diagnosis	noun	/ˌdaɪəɡˈnoʊsɪs/	诊断	the name given to a disease after evaluation
antibiotic	noun	/ˌæntibaɪˈɑːtɪk/	抗生素	a drug used to treat bacterial infection
antipyretic	noun	/ˌæntipaɪˈretɪk/	退热药	a drug given to lower fever
lymphatic system	phrase	/lɪmˈfætɪk ˈsɪstəm/	淋巴系统	the network of lymph vessels, nodes, and lymphoid organs
lymph vessel	phrase	/lɪmf ˈvesəl/	淋巴管	a channel that carries lymph toward nodes and veins
expel	verb	/ɪkˈspel/	排出	to force something out of the body or airway
carbon dioxide	phrase	/ˈkɑːrbən daɪˈɑːksaɪd/	二氧化碳	the gas produced by metabolism and exhaled
oxygen	noun	/ˈɑːksɪdʒən/	氧气	the gas required for aerobic tissue metabolism
larynx	noun	/ˈlærɪŋks/	喉	the voice box between pharynx and trachea
throat	noun	/θroʊt/	咽喉	the common word for the pharynx and nearby passages
windpipe	noun	/ˈwɪndpaɪp/	气管	the everyday name for the trachea
saliva	noun	/səˈlaɪvə/	唾液	the watery secretion of the salivary glands
kidney	noun	/ˈkɪdni/	肾	the paired organ that filters blood and makes urine
urine	noun	/ˈjʊrɪn/	尿液	the fluid waste formed by the kidneys
urethra	noun	/jʊˈriːθrə/	尿道	the tube that carries urine out of the bladder
bladder	noun	/ˈblædər/	膀胱	the muscular sac that stores urine
pituitary	noun	/pɪˈtuːɪteri/	脑垂体	the master endocrine gland at the base of the brain
adrenal gland	phrase	/əˈdriːnl ɡlænd/	肾上腺	the paired gland on each kidney that makes steroids and catecholamines
cortisone	noun	/ˈkɔːrtɪsoʊn/	可的松	a glucocorticoid used as antiinflammatory therapy
collar bone	phrase	/ˈkɑːlər boʊn/	锁骨	the clavicle, linking sternum to scapula
spinal column	phrase	/ˈspaɪnl ˈkɑːləm/	脊柱	the stacked vertebrae from skull to pelvis
spinal cord	phrase	/ˈspaɪnl kɔːrd/	脊髓	the nerve cord inside the vertebral canal
sperm	noun	/spɜːrm/	精子	the male gamete
ovum	noun	/ˈoʊvəm/	卵子	the female gamete
testis	noun	/ˈtestɪs/	睾丸	the male gonad that makes sperm and testosterone
ovary	noun	/ˈoʊvəri/	卵巢	the female gonad that makes ova and sex hormones
testosterone	noun	/teˈstɑːstəroʊn/	睾酮	the main male sex steroid
progesterone	noun	/proʊˈdʒestəroʊn/	孕酮	the steroid that supports the secretory endometrium
estrogen	noun	/ˈestrədʒən/	雌激素	the main female sex steroid family
tactile	adjective	/ˈtæktəl/	触觉的	relating to the sense of touch
accessory	adjective	/əkˈsesəri/	附属的	assisting a main organ or structure
pharynx	noun	/ˈfærɪŋks/	咽	the throat cavity shared by airway and foodway
epidemic disease	phrase	/ˌepɪˈdemɪk dɪˈziːz/	传染病	a disease spreading widely through a population
endemic disease	phrase	/enˈdemɪk dɪˈziːz/	地方病	a disease constantly present in a defined region
airborne droplets	phrase	/ˈerbɔːrn ˈdrɑːpləts/	飞沫传播	infection spread by respiratory droplets in the air
pus	noun	/pʌs/	脓	thick infected fluid of dead cells and microbes
boils	noun	/bɔɪlz/	疖	painful pus-filled skin abscesses of hair follicles
pimples	noun	/ˈpɪmpəlz/	丘疹	small raised inflammatory spots on the skin
armpit	noun	/ˈɑːrmpɪt/	腋窝	the axilla, a common site of lymph nodes
sepsis	noun	/ˈsepsɪs/	败血症	life-threatening organ dysfunction from infection
opsonization	noun	/ˌɑːpsənaɪˈzeɪʃn/	调理作用	coating of a microbe so phagocytes can ingest it
complement	noun	/ˈkɑːmplɪmənt/	补体	plasma proteins that help antibodies kill microbes
molecule	noun	/ˈmɑːlɪkjuːl/	分子	the smallest unit of a chemical compound
exhale	verb	/eksˈheɪl/	呼出	to breathe air out of the lungs
inhale	verb	/ɪnˈheɪl/	吸入	to breathe air into the lungs
cell	noun	/sel/	细胞	the basic living unit of tissues and organs
tissue	noun	/ˈtɪʃuː/	组织	a group of similar cells with a shared function
organ	noun	/ˈɔːrɡən/	器官	a structure of tissues that performs a specific job
system	noun	/ˈsɪstəm/	系统	a set of organs working together as one function
nucleus	noun	/ˈnuːkliəs/	细胞核	the cell compartment that holds most DNA
cytoplasm	noun	/ˈsaɪtəplæzəm/	细胞质	the cell contents outside the nucleus
membrane	noun	/ˈmembren/	膜	a thin barrier that bounds a cell or cavity
chromosome	noun	/ˈkroʊməsoʊm/	染色体	a DNA-protein structure that carries genes
gene	noun	/dʒiːn/	基因	a DNA segment that codes for a product or trait
DNA	noun	/ˌdiː en ˈeɪ/	脱氧核糖核酸	the nucleic acid that stores genetic information
RNA	noun	/ˌɑːr en ˈeɪ/	核糖核酸	the nucleic acid used in transcription and translation
protein	noun	/ˈproʊtiːn/	蛋白质	a polymer of amino acids with structural or enzyme roles
receptor	noun	/rɪˈseptər/	受体	a protein that binds a ligand and starts a signal
epithelium	noun	/ˌepɪˈθiːliəm/	上皮	the covering tissue of surfaces and glands
endothelium	noun	/ˌendoʊˈθiːliəm/	内皮	the lining of blood and lymphatic vessels
connective tissue	phrase	/kəˈnektɪv ˈtɪʃuː/	结缔组织	the supporting tissue of matrix, fibers, and cells
muscle	noun	/ˈmʌsəl/	肌肉	contractile tissue that produces movement or tone
nerve	noun	/nɜːrv/	神经	a bundle of axons carrying signals to or from the CNS
bone	noun	/boʊn/	骨	the hard connective tissue of the skeleton
joint	noun	/dʒɔɪnt/	关节	the junction where two or more bones meet
ligament	noun	/ˈlɪɡəmənt/	韧带	the fibrous band that connects bone to bone
tendon	noun	/ˈtendən/	肌腱	the fibrous cord that connects muscle to bone
fascia	noun	/ˈfæʃə/	筋膜	the connective sheet wrapping muscles and organs
mucosa	noun	/mjuːˈkoʊsə/	黏膜	the moist lining of hollow viscera
cavity	noun	/ˈkævəti/	腔	a hollow space in the body or an organ
lumen	noun	/ˈluːmən/	管腔	the inner open space of a tubular organ
valve	noun	/vælv/	瓣膜	a flap that keeps flow moving in one direction
sphincter	noun	/ˈsfɪŋktər/	括约肌	a ring of muscle that opens or closes a passage
duct	noun	/dʌkt/	导管	a tube that carries gland secretion
gland	noun	/ɡlænd/	腺	an organ or cell group that secretes a product
neuron	noun	/ˈnʊrɑːn/	神经元	the electrically signaling cell of the nervous system
axon	noun	/ˈæksɑːn/	轴突	the long process that carries a nerve impulse away
synapse	noun	/ˈsɪnæps/	突触	the junction where one neuron signals another
collagen	noun	/ˈkɑːlədʒən/	胶原	the main structural protein of connective tissue
erythrocyte	noun	/ɪˈrɪθrəsaɪt/	红细胞	the red blood cell that carries oxygen
leukocyte	noun	/ˈluːkəsaɪt/	白细胞	a white blood cell of host defense
platelet	noun	/ˈpleɪtlət/	血小板	the blood fragment that starts clotting
plasma	noun	/ˈplæzmə/	血浆	the liquid part of unclotted blood
serum	noun	/ˈsɪrəm/	血清	the liquid left after blood has clotted
hemoglobin	noun	/ˈhiːməˌɡloʊbɪn/	血红蛋白	the oxygen-carrying protein of red cells
homeostasis	noun	/ˌhoʊmioʊˈsteɪsɪs/	稳态	the maintenance of a stable internal environment
metabolism	noun	/məˈtæbəlɪzəm/	代谢	the sum of chemical reactions in the body
osmosis	noun	/ɑːzˈmoʊsɪs/	渗透	water movement across a membrane toward higher solute
diffusion	noun	/dɪˈfjuːʒən/	扩散	net movement of a solute down its concentration gradient
filtration	noun	/fɪlˈtreɪʃn/	滤过	movement of fluid across a barrier driven by pressure
electrolyte	noun	/ɪˈlektrəlaɪt/	电解质	an ion in body fluid such as sodium or potassium
cholesterol	noun	/kəˈlestərɔːl/	胆固醇	a sterol in membranes and steroid hormone synthesis
glucose	noun	/ˈɡluːkoʊs/	葡萄糖	the main blood sugar used by tissues
albumin	noun	/ælˈbjuːmɪn/	白蛋白	the main plasma protein that maintains oncotic pressure
bilirubin	noun	/ˌbɪlɪˈruːbɪn/	胆红素	the bile pigment from heme breakdown
urea	noun	/jʊˈriːə/	尿素	the main nitrogenous waste of protein metabolism
creatinine	noun	/kriˈætɪniːn/	肌酐	the muscle-waste marker used to estimate GFR
heart	noun	/hɑːrt/	心脏	the muscular pump of the circulatory system
atrium	noun	/ˈeɪtriəm/	心房	an upper receiving chamber of the heart
ventricle	noun	/ˈventrɪkəl/	心室	a lower pumping chamber of the heart
aorta	noun	/eɪˈɔːrtə/	主动脉	the main artery leaving the left ventricle
myocardium	noun	/ˌmaɪəˈkɑːrdiəm/	心肌	the muscular wall of the heart
pericardium	noun	/ˌperɪˈkɑːrdiəm/	心包	the sac surrounding the heart
endocardium	noun	/ˌendoʊˈkɑːrdiəm/	心内膜	the inner lining of the heart chambers
coronary	adjective	/ˈkɔːrəneri/	冠状动脉的	relating to the arteries that supply the heart
blood pressure	phrase	/blʌd ˈpreʃər/	血压	the force of blood against arterial walls
murmur	noun	/ˈmɜːrmər/	杂音	an abnormal heart sound from turbulent flow
ischemia	noun	/ɪˈskiːmiə/	缺血	insufficient blood flow to a tissue
infarction	noun	/ɪnˈfɑːrkʃn/	梗死	tissue death from prolonged ischemia
thrombosis	noun	/θrɑːmˈboʊsɪs/	血栓形成	formation of a clot inside a vessel
embolism	noun	/ˈembəlɪzəm/	栓塞	blockage of a vessel by material carried in blood
atherosclerosis	noun	/ˌæθəroʊskləˈroʊsɪs/	动脉粥样硬化	plaque buildup that narrows arteries
angina	noun	/ænˈdʒaɪnə/	心绞痛	chest discomfort from myocardial ischemia
shock	noun	/ʃɑːk/	休克	acute circulatory failure with inadequate tissue perfusion
edema	noun	/ɪˈdiːmə/	水肿	excess interstitial fluid in tissues
cyanosis	noun	/ˌsaɪəˈnoʊsɪs/	发绀	bluish skin or mucosa from low oxygenated hemoglobin
palpitation	noun	/ˌpælpɪˈteɪʃn/	心悸	awareness of an irregular or forceful heartbeat
syncope	noun	/ˈsɪŋkəpi/	晕厥	a brief loss of consciousness from hypoperfusion
arrhythmia	noun	/əˈrɪðmiə/	心律失常	an abnormal heart rhythm
heart failure	phrase	/hɑːrt ˈfeɪljər/	心力衰竭	the heart cannot pump enough blood for body needs
pulmonary	adjective	/ˈpʌlməneri/	肺的	relating to the lungs
myocarditis	noun	/ˌmaɪəkɑːrˈdaɪtɪs/	心肌炎	inflammation of the heart muscle
pericarditis	noun	/ˌperɪkɑːrˈdaɪtɪs/	心包炎	inflammation of the pericardium
lung	noun	/lʌŋ/	肺	the paired organ of gas exchange
bronchus	noun	/ˈbrɑːŋkəs/	支气管	a main airway branch of the trachea
alveolus	noun	/ælˈviːələs/	肺泡	the tiny air sac where gas exchange occurs
pleura	noun	/ˈplʊrə/	胸膜	the serous membrane lining the chest and covering lungs
diaphragm	noun	/ˈdaɪəfræm/	膈	the main muscle of inspiration
inspiration	noun	/ˌɪnspəˈreɪʃn/	吸气	drawing air into the lungs
expiration	noun	/ˌekspəˈreɪʃn/	呼气	pushing air out of the lungs
ventilation	noun	/ˌventɪˈleɪʃn/	通气	movement of air into and out of the lungs
intubation	noun	/ˌɪntjuˈbeɪʃn/	插管	placing a tube into the trachea to secure the airway
dyspnea	noun	/ˈdɪspniə/	呼吸困难	the sensation of difficult or labored breathing
cough	noun	/kɔːf/	咳嗽	a sudden forced expiration to clear the airway
sputum	noun	/ˈspjuːtəm/	痰	mucus coughed up from the lower airways
hemoptysis	noun	/hɪˈmɑːptɪsɪs/	咯血	coughing up blood from the lower airway
pneumonia	noun	/nuːˈmoʊniə/	肺炎	infection of the lung parenchyma
bronchitis	noun	/brɑːŋˈkaɪtɪs/	支气管炎	inflammation of the bronchi
asthma	noun	/ˈæzmə/	哮喘	reversible airway obstruction with inflammation and spasm
pneumothorax	noun	/ˌnuːmoʊˈθɔːræks/	气胸	air in the pleural space collapsing the lung
effusion	noun	/ɪˈfjuːʒən/	积液	abnormal fluid in a body cavity such as the pleura
tachypnea	noun	/təˈkɪpniə/	呼吸急促	an abnormally fast respiratory rate
orthopnea	noun	/ɔːrˈθɑːpniə/	端坐呼吸	dyspnea that is worse lying flat
wheeze	noun	/wiːz/	哮鸣	a high-pitched whistling sound from narrowed airways
stridor	noun	/ˈstraɪdər/	喘鸣	a harsh inspiratory sound from upper-airway obstruction
rhinitis	noun	/raɪˈnaɪtɪs/	鼻炎	inflammation of the nasal mucosa
sinusitis	noun	/ˌsaɪnəˈsaɪtɪs/	鼻窦炎	inflammation of a paranasal sinus
tonsillitis	noun	/ˌtɑːnsəˈlaɪtɪs/	扁桃体炎	inflammation of the tonsils
laryngitis	noun	/ˌlærɪnˈdʒaɪtɪs/	喉炎	inflammation of the larynx
pharyngitis	noun	/ˌfærɪnˈdʒaɪtɪs/	咽炎	inflammation of the pharynx
atelectasis	noun	/ˌætəˈlektəsɪs/	肺不张	collapse of part or all of a lung
aspiration	noun	/ˌæspəˈreɪʃn/	误吸	inhalation of food, fluid, or vomit into the airway
tuberculosis	noun	/tuːˌbɜːrkjəˈloʊsɪs/	结核病	infection with Mycobacterium tuberculosis
bronchodilator	noun	/ˌbrɑːŋkoʊˈdaɪleɪtər/	支气管扩张药	a drug that relaxes airway smooth muscle
stomach	noun	/ˈstʌmək/	胃	the muscular sac that stores and begins digesting food
colon	noun	/ˈkoʊlən/	结肠	the large intestine that absorbs water and forms stool
liver	noun	/ˈlɪvər/	肝	the large gland of metabolism, bile, and detoxification
intestine	noun	/ɪnˈtestɪn/	肠	the bowel from duodenum to anus
appendix	noun	/əˈpendɪks/	阑尾	the blind tube attached to the cecum
constipation	noun	/ˌkɑːnstɪˈpeɪʃn/	便秘	infrequent or difficult passage of hard stool
diarrhea	noun	/ˌdaɪəˈriːə/	腹泻	frequent passage of loose or watery stool
nausea	noun	/ˈnɔːziə/	恶心	the unpleasant urge to vomit
vomiting	noun	/ˈvɑːmɪtɪŋ/	呕吐	forceful expulsion of gastric contents through the mouth
anorexia	noun	/ˌænəˈreksiə/	厌食	loss of appetite
dysphagia	noun	/dɪsˈfeɪdʒiə/	吞咽困难	difficulty swallowing
jaundice	noun	/ˈdʒɔːndɪs/	黄疸	yellowing of skin or sclera from high bilirubin
ascites	noun	/əˈsaɪtiːz/	腹水	free fluid in the peritoneal cavity
cirrhosis	noun	/sɪˈroʊsɪs/	肝硬化	end-stage fibrosis and nodularity of the liver
ulcer	noun	/ˈʌlsər/	溃疡	a break in an epithelial surface that fails to heal
appendicitis	noun	/əˌpendɪˈsaɪtɪs/	阑尾炎	inflammation of the appendix
pancreatitis	noun	/ˌpæŋkriəˈtaɪtɪs/	胰腺炎	inflammation of the pancreas
cholecystitis	noun	/ˌkoʊlɪsɪˈstaɪtɪs/	胆囊炎	inflammation of the gallbladder
peritonitis	noun	/ˌperɪtəˈnaɪtɪs/	腹膜炎	inflammation of the peritoneum
gastroenteritis	noun	/ˌɡæstroʊˌentəˈraɪtɪs/	胃肠炎	inflammation of stomach and intestines
enteritis	noun	/ˌentəˈraɪtɪs/	肠炎	inflammation of the small intestine
esophagitis	noun	/ɪˌsɑːfəˈdʒaɪtɪs/	食管炎	inflammation of the esophagus
gastric	adjective	/ˈɡæstrɪk/	胃的	relating to the stomach
hepatic	adjective	/hɪˈpætɪk/	肝的	relating to the liver
biliary	adjective	/ˈbɪlieri/	胆道的	relating to bile or the bile ducts
diverticulitis	noun	/ˌdaɪvərtɪkjəˈlaɪtɪs/	憩室炎	inflammation of a colonic diverticulum
polyp	noun	/ˈpɑːlɪp/	息肉	a projecting growth from a mucosal surface
cholecystectomy	noun	/ˌkoʊlɪsɪˈtektəmi/	胆囊切除术	surgical removal of the gallbladder
appendectomy	noun	/ˌæpənˈdektəmi/	阑尾切除术	surgical removal of the appendix
anastomosis	noun	/əˌnæstəˈmoʊsɪs/	吻合	a surgical or natural joining of two hollow structures
resection	noun	/rɪˈsekʃn/	切除	surgical removal of a segment of tissue or organ
ligation	noun	/laɪˈɡeɪʃn/	结扎	tying off a vessel or duct
oral	adjective	/ˈɔːrəl/	口腔的；口服的	relating to the mouth, or given by mouth
nephron	noun	/ˈnefrɑːn/	肾单位	the functional filtering unit of the kidney
glomerulus	noun	/ɡləˈmerjələs/	肾小球	the capillary tuft that filters plasma in the nephron
renal	adjective	/ˈriːnl/	肾的	relating to the kidney
prostate	noun	/ˈprɑːsteɪt/	前列腺	the gland below the bladder in males
uterus	noun	/ˈjuːtərəs/	子宫	the organ that carries a pregnancy
menstruation	noun	/ˌmenstruˈeɪʃn/	月经	cyclic uterine bleeding of the reproductive years
pregnancy	noun	/ˈpreɡnənsi/	妊娠	the state of carrying a developing fetus
fetus	noun	/ˈfiːtəs/	胎儿	the unborn offspring after the embryonic period
embryo	noun	/ˈembrioʊ/	胚胎	the early developing offspring before the fetal stage
placenta	noun	/pləˈsentə/	胎盘	the organ of exchange between mother and fetus
hematuria	noun	/ˌhiːməˈtʊriə/	血尿	blood in the urine
oliguria	noun	/ˌɑːlɪˈɡjʊriə/	少尿	abnormally low urine output
polyuria	noun	/ˌpɑːliˈjʊriə/	多尿	abnormally large urine volume
dysuria	noun	/dɪsˈjʊriə/	排尿困难；尿痛	painful or difficult urination
incontinence	noun	/ɪnˈkɑːntɪnəns/	失禁	involuntary leakage of urine or feces
dialysis	noun	/daɪˈæləsɪs/	透析	artificial removal of waste and water from blood
nephritis	noun	/nəˈfraɪtɪs/	肾炎	inflammation of the kidney
pyelonephritis	noun	/ˌpaɪəloʊnəˈfraɪtɪs/	肾盂肾炎	infection of the renal pelvis and kidney
cystitis	noun	/sɪˈstaɪtɪs/	膀胱炎	inflammation of the bladder
urethritis	noun	/ˌjʊrəˈθraɪtɪs/	尿道炎	inflammation of the urethra
glomerulonephritis	noun	/ɡləˌmerjəloʊnəˈfraɪtɪs/	肾小球肾炎	inflammation of the glomeruli
prostatitis	noun	/ˌprɑːstəˈtaɪtɪs/	前列腺炎	inflammation of the prostate
mastitis	noun	/mæˈstaɪtɪs/	乳腺炎	inflammation of the breast
catheterization	noun	/ˌkæθətərəˈzeɪʃn/	导尿；置管	placement of a tube into a hollow viscus or vessel
urinalysis	noun	/ˌjʊrɪˈnæləsɪs/	尿液分析	laboratory examination of urine
ovulation	noun	/ˌɑːvjəˈleɪʃn/	排卵	release of an ovum from the ovary
breast	noun	/brest/	乳房	the mammary gland and overlying tissue
pelvis	noun	/ˈpelvɪs/	骨盆	the bony basin of hip bones and sacrum
