lemma	pos	ipa	zh	meaning_en
emulsification	noun	/ɪˌmʌlsɪfɪˈkeɪʃn/	乳化	breaking fat into tiny droplets so enzymes can act
antrum	noun	/ˈæntrəm/	窦；腔	a cavity, such as the gastric antrum
bile acid	phrase	/baɪl ˈæsɪd/	胆汁酸	liver-made acids that help digest fat
gingivitis	noun	/ˌdʒɪndʒɪˈvaɪtɪs/	牙龈炎	inflammation of the gums
laparoscope	noun	/ˈlæpərəskoʊp/	腹腔镜	an instrument for looking into the peritoneal cavity
peptic ulcer	phrase	/ˈpeptɪk ˈʌlsər/	消化性溃疡	an ulcer of stomach or duodenum from acid injury
paralytic ileus	phrase	/ˌpærəˈlɪtɪk ˈɪliəs/	麻痹性肠梗阻	bowel obstruction from lost peristalsis, not a mechanical block
barium	noun	/ˈberiəm/	钡	a radiopaque contrast used in GI imaging
autodigestion	noun	/ˌɔːtoʊdaɪˈdʒestʃən/	自身消化	tissue digested by its own enzymes, as in pancreatitis
hiatal	adjective	/haɪˈeɪtl/	裂孔的	relating to a hiatus, especially the diaphragmatic hiatus
hernia	noun	/ˈhɜːrniə/	疝	protrusion of a viscus through a weak wall
epigastric	adjective	/ˌepɪˈɡæstrɪk/	上腹部的	in the upper central abdomen over the stomach
endoscopy	noun	/enˈdɑːskəpi/	内镜检查	inspection of a hollow organ with a lighted tube
navel	noun	/ˈneɪvl/	脐	the umbilicus
histamine	noun	/ˈhɪstəmiːn/	组胺	a mediator of acid secretion and allergic inflammation
chest cavity	phrase	/tʃest ˈkævəti/	胸腔	the thoracic cavity containing lungs and heart
ulcerative colitis	phrase	/ˈʌlsərətɪv kəˈlaɪtɪs/	溃疡性结肠炎	chronic colonic mucosal inflammation with ulcers
diverticulum	noun	/ˌdaɪvərˈtɪkjələm/	憩室	a pouch bulging from a hollow organ wall
hepatomegaly	noun	/ˌhepətəʊˈmeɡəli/	肝肿大	enlargement of the liver
diverticulosis	noun	/ˌdaɪvərtɪkjəˈloʊsɪs/	憩室病	presence of diverticula, usually in the colon
polyps	noun	/ˈpɑːlɪps/	息肉	abnormal mucosal growths, often in the bowel
architecture	noun	/ˈɑːrkɪtektʃər/	结构；构筑	the organized microscopic arrangement of a tissue
occult blood	phrase	/əˈkʌlt blʌd/	隐血	blood not visible to the eye, found by testing
nodule	noun	/ˈnɑːdʒuːl/	结节	a small firm lump in tissue
proctoscope	noun	/ˈprɑːktəskoʊp/	直肠镜	an instrument for inspecting the rectum
micronodular	adjective	/ˌmaɪkroʊˈnɑːdʒələr/	小结节性的	made of very small nodules, as in some cirrhosis
sigmoidoscope	noun	/sɪɡˈmɔɪdəskoʊp/	乙状结肠镜	an instrument for inspecting the sigmoid colon
macronodular	adjective	/ˌmækroʊˈnɑːdʒələr/	大结节性的	made of large nodules
colonoscope	noun	/kəˈlɑːnəskoʊp/	结肠镜	an instrument for inspecting the whole colon
lobular	adjective	/ˈlɑːbjələr/	小叶的	arranged in or relating to lobules
ileostomy	noun	/ˌɪliˈɑːstəmi/	回肠造口术	a surgical opening of ileum onto the abdominal wall
cholelithiasis	noun	/ˌkoʊləlɪˈθaɪəsɪs/	胆石症	gallstones in the gallbladder or bile ducts
colostomy	noun	/kəˈlɑːstəmi/	结肠造口术	a surgical opening of colon onto the abdominal wall
gastroduodenostomy	noun	/ˌɡæstroʊˌduːədəˈnɑːstəmi/	胃十二指肠吻合术	a surgical join between stomach and duodenum
biliary colic	phrase	/ˈbɪliəri ˈkɑːlɪk/	胆绞痛	wave-like pain from a stone obstructing a bile duct
coloproctostomy	noun	/ˌkoʊloʊprɑːkˈtɑːstəmi/	结肠直肠吻合术	a surgical join between colon and rectum
pulmonary veins	phrase	/ˈpʌlməneri veɪnz/	肺静脉	veins that return oxygenated blood from lungs to the left atrium
maxillary sinus	phrase	/mækˈsɪləri ˈsaɪnəs/	上颌窦	the paranasal sinus in the maxilla
irritant	noun	/ˈɪrɪtənt/	刺激物	a substance that inflames or provokes a tissue
paranasal sinus	phrase	/ˌpærəˈneɪzl ˈsaɪnəs/	鼻旁窦	an air sinus around the nasal cavity
frontal sinus	phrase	/ˈfrʌntl ˈsaɪnəs/	额窦	the paranasal sinus in the frontal bone
ethmoidal sinus	phrase	/ˈeθmɔɪdl ˈsaɪnəs/	筛窦	the paranasal sinuses in the ethmoid
nostril	noun	/ˈnɑːstrəl/	鼻孔	an external opening of the nose
sphenoid sinus	phrase	/ˈsfiːnɔɪd ˈsaɪnəs/	蝶窦	the paranasal sinus in the sphenoid bone
nasopharynx	noun	/ˌneɪzoʊˈfærɪŋks/	鼻咽	the pharynx behind the nasal cavity
oropharynx	noun	/ˌɔːroʊˈfærɪŋks/	口咽	the pharynx behind the oral cavity
apex	noun	/ˈeɪpeks/	尖；顶端	the pointed end of an organ, such as the lung apex
hypopharynx	noun	/ˌhaɪpoʊˈfærɪŋks/	下咽	the lowest part of the pharynx; laryngopharynx
hilum	noun	/ˈhaɪləm/	门	the site where vessels and bronchi enter an organ
laryngopharynx	noun	/ləˌrɪŋɡoʊˈfærɪŋks/	喉咽	the pharynx beside the larynx
collarbone	noun	/ˈkɑːlərboʊn/	锁骨	the clavicle
adenoids	noun	/ˈædənɔɪdz/	腺样体	pharyngeal tonsil tissue in the nasopharynx
hypopharyngeal	adjective	/ˌhaɪpoʊfəˈrɪndʒiəl/	下咽的	relating to the hypopharynx
pharyngeal tonsils	phrase	/fəˈrɪndʒiəl ˈtɑːnslz/	咽扁桃体	lymphoid tissue in the nasopharynx; adenoids
thoracic cavity	phrase	/θɔːˈræsɪk ˈkævəti/	胸腔	the chest cavity enclosed by ribs and diaphragm
abdominal cavity	phrase	/æbˈdɑːmɪnl ˈkævəti/	腹腔	the peritoneal cavity of the abdomen
palatine tonsils	phrase	/ˈpælətaɪn ˈtɑːnslz/	腭扁桃体	the tonsils in the oropharynx
inhalation	noun	/ˌɪnhəˈleɪʃn/	吸气	drawing air into the lungs
tongue tonsil	phrase	/tʌŋ ˈtɑːnsl/	舌扁桃体	lymphoid tissue at the tongue base; lingual tonsil
vocal cords	phrase	/ˈvoʊkl kɔːrdz/	声带	the folds in the larynx that produce voice
exhalation	noun	/ˌekshəˈleɪʃn/	呼气	pushing air out of the lungs
mucous membrane	phrase	/ˈmjuːkəs ˈmembreɪn/	黏膜	a lining that secretes mucus
fibrous connective tissue	phrase	/ˈfaɪbrəs kəˈnektɪv ˈtɪʃuː/	纤维结缔组织	dense connective tissue rich in collagen
phrenic nerve	phrase	/ˈfrenɪk nɜːrv/	膈神经	the nerve that drives the diaphragm
bronchi	noun	/ˈbrɑːŋkaɪ/	支气管	the two main airway branches from the trachea
acidity	noun	/əˈsɪdəti/	酸度	how acidic a fluid or tissue is
alkalinity	noun	/ˌælkəˈlɪnəti/	碱度	how alkaline a fluid or tissue is
alveoli	noun	/ælˈviːəlaɪ/	肺泡	the tiny air sacs where gas exchange occurs
alkali	noun	/ˈælkəlaɪ/	碱	a base that can neutralize acid
parietal pleura	phrase	/pəˈraɪətl ˈplʊrə/	壁层胸膜	the pleural layer lining the chest wall
hyperventilation	noun	/ˌhaɪpərˌventɪˈleɪʃn/	过度通气	breathing faster or deeper than metabolic need
visceral pleura	phrase	/ˈvɪsərəl ˈplʊrə/	脏层胸膜	the pleural layer covering the lung
hypoventilation	noun	/ˌhaɪpoʊˌventɪˈleɪʃn/	通气不足	breathing too little for metabolic need
horizontal fissure	phrase	/ˌhɔːrəˈzɑːntl ˈfɪʃər/	水平裂	the fissure separating the right upper and middle lobes
mucus	noun	/ˈmjuːkəs/	黏液	the sticky secretion of mucous glands
oblique fissure	phrase	/əˈbliːk ˈfɪʃər/	斜裂	the fissure separating upper and lower lung lobes
exudates	noun	/ˈeksjudeɪts/	渗出液	protein-rich fluid leaking from inflamed vessels
solidification	noun	/səˌlɪdɪfɪˈkeɪʃn/	实变	lung tissue becoming firm, as in consolidation
allergic	adjective	/əˈlɜːrdʒɪk/	过敏的	caused by or relating to allergy
influenza	noun	/ˌɪnfluˈenzə/	流行性感冒	an acute viral respiratory infection
pneumonitis	noun	/ˌnuːməˈnaɪtɪs/	肺炎（广义）；肺炎症	inflammation of lung tissue, not always infectious
steroids	noun	/ˈstɪrɔɪdz/	甾体；糖皮质激素	corticosteroid drugs that suppress inflammation
lobar pneumonia	phrase	/ˈloʊbər nuːˈmoʊniə/	大叶性肺炎	pneumonia involving a whole lobe
allergen	noun	/ˈælərdʒən/	变应原	a substance that triggers allergy
polio	noun	/ˈpoʊlioʊ/	脊髓灰质炎	poliomyelitis, a viral disease that can paralyze
bronchopneumonia	noun	/ˌbrɑːŋkoʊnuːˈmoʊniə/	支气管肺炎	patchy pneumonia centered on bronchioles
paralyze	verb	/ˈpærəlaɪz/	使瘫痪	to take away the ability to move a part
pleurisy	noun	/ˈplʊrəsi/	胸膜炎	inflammation of the pleura, often painful
mature	adjective	/məˈtʃʊr/	成熟的	fully developed
tubercle	noun	/ˈtuːbərkl/	结节；结核结节	a small rounded nodule, classically in tuberculosis
prematurely	adverb	/ˌpriːməˈtʃʊrli/	过早地	earlier than the expected time
digitalis	noun	/ˌdɪdʒɪˈteɪlɪs/	洋地黄	a cardiac glycoside used for some heart failure and arrhythmia
phlegm	noun	/flem/	痰	thick mucus from the airways
diuretics	noun	/ˌdaɪjʊˈretɪks/	利尿剂	drugs that increase urine output
bronchospasm	noun	/ˈbrɑːŋkospæzm/	支气管痉挛	sudden narrowing of bronchi by smooth-muscle contraction
simple chronic bronchitis	phrase	/ˈsɪmpl ˈkrɑːnɪk brɑːŋˈkaɪtɪs/	单纯慢性支气管炎	chronic bronchitis with cough and sputum but little obstruction
pneumoconiosis	noun	/ˌnuːmoʊˌkoʊniˈoʊsɪs/	尘肺	lung disease from inhaled mineral dust
chronic obstructive bronchitis	phrase	/ˈkrɑːnɪk əbˈstrʌktɪv brɑːŋˈkaɪtɪs/	慢性阻塞性支气管炎	chronic bronchitis with airflow obstruction
silicosis	noun	/ˌsɪlɪˈkoʊsɪs/	矽肺	pneumoconiosis from silica dust
anthracosilicosis	noun	/ˌænθrəkoʊˌsɪlɪˈkoʊsɪs/	煤矽肺	pneumoconiosis from coal and silica dust
asthmatic bronchitis	phrase	/æzˈmætɪk brɑːŋˈkaɪtɪs/	哮喘性支气管炎	bronchitis with a wheezing, reversible component
noxious	adjective	/ˈnɑːkʃəs/	有害的	harmful to tissue or health
bronchiectasis	noun	/ˌbrɑːŋkiˈektəsɪs/	支气管扩张	permanent abnormal widening of bronchi
systolic pressure	phrase	/sɪˈstɑːlɪk ˈpreʃər/	收缩压	the arterial pressure during ventricular contraction
diastolic pressure	phrase	/ˌdaɪəˈstɑːlɪk ˈpreʃər/	舒张压	the arterial pressure during ventricular relaxation
congestive heart failure	phrase	/kənˈdʒestɪv hɑːrt ˈfeɪljər/	充血性心力衰竭	heart failure with fluid backup in lungs or body
coronary heart disease	phrase	/ˈkɔːrəneri hɑːrt dɪˈziːz/	冠心病	atherosclerotic disease of the coronary arteries
vegetation	noun	/ˌvedʒəˈteɪʃn/	赘生物	a clot-like mass on a valve, as in endocarditis
angina pectoris	phrase	/ænˈdʒaɪnə ˈpektərɪs/	心绞痛	chest pain from myocardial ischemia
essential hypertension	phrase	/ɪˈsenʃl ˌhaɪpərˈtenʃn/	原发性高血压	high blood pressure without an identified secondary cause
secondary hypertension	phrase	/ˈsekənderi ˌhaɪpərˈtenʃn/	继发性高血压	high blood pressure caused by another disease
myocardial infarction	phrase	/ˌmaɪəˈkɑːrdiəl ɪnˈfɑːrkʃn/	心肌梗死	death of heart muscle from blocked coronary flow
pericardial tamponade	phrase	/ˌperɪˈkɑːrdiəl ˌtæmpəˈneɪd/	心包填塞	compression of the heart by fluid in the pericardium
arhythmia	noun	/əˈrɪðmiə/	心律失常	an irregular heartbeat (textbook spelling of arrhythmia)
dextran	noun	/ˈdekstrən/	右旋糖酐	a polysaccharide plasma expander
vomitus	noun	/ˈvɑːmɪtəs/	呕吐物	material ejected from the stomach
spermatic cord	phrase	/spərˈmætɪk kɔːrd/	精索	the cord carrying vas, vessels, and nerves to the testis
rheumatic heart disease	phrase	/ruːˈmætɪk hɑːrt dɪˈziːz/	风湿性心脏病	valve damage after rheumatic fever
piles	noun	/paɪlz/	痔	hemorrhoids
varix	noun	/ˈverɪks/	静脉曲张	a permanently dilated vein
valvular murmur	phrase	/ˈvælvjələr ˈmɜːrmər/	瓣膜杂音	a heart murmur from abnormal valve flow
etiology	noun	/ˌiːtiˈɑːlədʒi/	病因	the cause of a disease
hemocyte	noun	/ˈhiːməsaɪt/	血细胞	a blood cell
thymus gland	phrase	/ˈθaɪməs ɡlænd/	胸腺	the gland where T lymphocytes mature
platelets	noun	/ˈpleɪtlɪts/	血小板	cell fragments that help blood clot
lymphoid organs	phrase	/ˈlɪmfɔɪd ˈɔːrɡənz/	淋巴器官	organs of the immune system such as nodes and spleen
thrombocytes	noun	/ˈθrɑːmbəsaɪts/	血小板	another name for platelets
debris	noun	/dəˈbriː/	碎屑	broken-down tissue or foreign fragments
clotting cells	phrase	/ˈklɑːtɪŋ selz/	凝血细胞	cells or fragments that participate in clot formation
cytotoxic	adjective	/ˌsaɪtoʊˈtɑːksɪk/	细胞毒性的	able to kill cells
interferon	noun	/ˌɪntərˈfɪrɑːn/	干扰素	a cytokine that helps resist viral infection
fibrinogen	noun	/faɪˈbrɪnədʒən/	纤维蛋白原	the plasma protein converted to fibrin in clotting
interleukins	noun	/ˌɪntərˈluːkɪnz/	白细胞介素	cytokines that signal among white cells
globulin	noun	/ˈɡlɑːbjəlɪn/	球蛋白	a class of plasma proteins including antibodies
heart palpitation	phrase	/hɑːrt ˌpælpɪˈteɪʃn/	心悸	awareness of an irregular or forceful heartbeat
prothrombin	noun	/proʊˈθrɑːmbɪn/	凝血酶原	a clotting factor converted to thrombin
globin	noun	/ˈɡloʊbɪn/	珠蛋白	the protein part of hemoglobin
irritation	noun	/ˌɪrɪˈteɪʃn/	刺激；激惹	local inflammation or unpleasant stimulation
aplastic anemia	phrase	/eɪˈplæstɪk əˈniːmiə/	再生障碍性贫血	anemia from failed marrow blood-cell production
pigment	noun	/ˈpɪɡmənt/	色素	a colored substance in tissue or blood
pancytopenia	noun	/ˌpænsaɪtəˈpiːniə/	全血细胞减少	low red cells, white cells, and platelets together
heme	noun	/hiːm/	血红素	the iron-containing part of hemoglobin
hemolytic anemia	phrase	/ˌhiːməˈlɪtɪk əˈniːmiə/	溶血性贫血	anemia from premature red-cell destruction
clotting factors	phrase	/ˈklɑːtɪŋ ˈfæktərz/	凝血因子	plasma proteins of the coagulation cascade
spherocytosis	noun	/ˌsfɪroʊsaɪˈtoʊsɪs/	球形红细胞增多	red cells that are sphere-shaped and fragile
erythropoietin	noun	/ɪˌrɪθroʊˈpɔɪətɪn/	促红细胞生成素	a kidney hormone that stimulates red-cell production
pernicious	adjective	/pərˈnɪʃəs/	恶性的	destructive; in pernicious anemia, B12-deficiency anemia
granulocytes	noun	/ˈɡrænjələsaɪts/	粒细胞	white cells with granules: neutrophils, eosinophils, basophils
megaloblast	noun	/ˈmeɡələblæst/	巨幼红细胞	an abnormally large nucleated red-cell precursor
eosinophil	noun	/ˌiːəˈsɪnəfɪl/	嗜酸性粒细胞	a granulocyte involved in allergy and parasites
sickle cell anemia	phrase	/ˈsɪkl sel əˈniːmiə/	镰状细胞贫血	an inherited anemia with sickle-shaped red cells
basophil	noun	/ˈbeɪsəfɪl/	嗜碱性粒细胞	a granulocyte that releases histamine
arthralgias	noun	/ɑːrˈθrældʒiəz/	关节痛	joint pains without necessary swelling
agranulocyte	noun	/eɪˈɡrænjələsaɪt/	无粒白细胞	a white cell without obvious granules, such as a lymphocyte
extremities	noun	/ɪkˈstremətiz/	四肢	the arms and legs
monocyte	noun	/ˈmɑːnəsaɪt/	单核细胞	a circulating precursor of macrophages
ulceration	noun	/ˌʌlsəˈreɪʃn/	溃疡形成	the process of forming an ulcer
thalassemia	noun	/ˌθæləˈsiːmiə/	地中海贫血	an inherited defect in globin-chain synthesis
polymorphonuclear	adjective	/ˌpɑːlimɔːrfoʊˈnuːkliər/	多形核的	having a multi-lobed nucleus, as neutrophils do
thrombocytopenia	noun	/ˌθrɑːmboʊˌsaɪtəˈpiːniə/	血小板减少	an abnormally low platelet count
detoxify	verb	/diːˈtɑːksɪfaɪ/	解毒	to make a toxin less harmful
petechiae	noun	/pəˈtiːkiiː/	瘀点	tiny pinpoint hemorrhages in skin or mucosa
ecchymosis	noun	/ˌekɪˈmoʊsɪs/	瘀斑	a larger subcutaneous bleed; a bruise
phagocytic	adjective	/ˌfæɡəˈsɪtɪk/	吞噬的	able to engulf particles or microbes
macrophages	noun	/ˈmækroʊfeɪdʒɪz/	巨噬细胞	tissue phagocytes derived from monocytes
hemophilia	noun	/ˌhiːməˈfɪliə/	血友病	an inherited clotting-factor deficiency with bleeding
phagocytosis	noun	/ˌfæɡəsaɪˈtoʊsɪs/	吞噬作用	engulfment of particles by a cell
autoimmune disease	phrase	/ˌɔːtoʊɪˈmjuːn dɪˈziːz/	自身免疫病	disease in which the immune system attacks host tissue
megakaryocyte	noun	/ˌmeɡəˈkærioʊsaɪt/	巨核细胞	the large marrow cell that sheds platelets
hemostasis	noun	/ˌhiːmoʊˈsteɪsɪs/	止血	the stopping of bleeding
hemarthrosis	noun	/ˌhiːmɑːrˈθroʊsɪs/	关节积血	bleeding into a joint
myeloblast	noun	/ˈmaɪələblæst/	成髓细胞	an immature myeloid white-cell precursor
neoplasms	noun	/ˈniːəplæzəmz/	肿瘤；新生物	abnormal new growths; tumors
lymphoblast	noun	/ˈlɪmfəblæst/	成淋巴细胞	an immature lymphocyte precursor
acute myelogenous leukemia	phrase	/əˈkjuːt ˌmaɪəˈlɑːdʒənəs luːˈkiːmiə/	急性髓系白血病	a fast myeloid-line blood cancer
hypercalcemia	noun	/ˌhaɪpərkælˈsiːmiə/	高钙血症	an abnormally high blood calcium
itching	noun	/ˈɪtʃɪŋ/	瘙痒	the sensation that makes a person want to scratch
acute lymphocytic leukemia	phrase	/əˈkjuːt ˌlɪmfəˈsɪtɪk luːˈkiːmiə/	急性淋巴细胞白血病	a fast lymphoid-line blood cancer, especially in children
sneezing	noun	/ˈsniːzɪŋ/	喷嚏	a sudden explosive expulsion of air from the nose
chronic myelogenous leukemia	phrase	/ˈkrɑːnɪk ˌmaɪəˈlɑːdʒənəs luːˈkiːmiə/	慢性髓系白血病	a slower myeloid leukemia often with a Philadelphia chromosome
urticaria	noun	/ˌɜːrtɪˈkeriə/	荨麻疹	itchy wheals; hives
immunodeficiency	noun	/ˌɪmjənoʊdɪˈfɪʃnsi/	免疫缺陷	impaired ability to fight infection
dysgammaglobulinemia	noun	/dɪsˌɡæməˌɡlɑːbjəlɪˈniːmiə/	丙种球蛋白异常血症	abnormal immunoglobulin levels
multiple myeloma	phrase	/ˈmʌltɪpl ˌmaɪəˈloʊmə/	多发性骨髓瘤	a plasma-cell cancer of bone marrow
plasma cells	phrase	/ˈplæzmə selz/	浆细胞	antibody-secreting B-lineage cells
extrinsic	adjective	/ɪkˈstrɪnsɪk/	外源性的	coming from outside the organ or pathway
osteolytic	adjective	/ˌɑːstioʊˈlɪtɪk/	溶骨的	causing bone destruction
intrinsic	adjective	/ɪnˈtrɪnsɪk/	内源性的	arising from within the organ or pathway
lymphadenopathy	noun	/lɪmˌfædəˈnɑːpəθi/	淋巴结病	enlarged or abnormal lymph nodes
